operator_name,total_versions,latest_version,openshift_versions,last_update,has_ci_yaml,has_makefile,error
ibm-spectrum-symphony-operator,1,1.1.2,"v4.6,v4.7,v4.8,v4.9",2021-12-16T18:48:25,True,False,
ibm-storage-odf-operator,12,1.8.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.9",2025-07-07T13:01:17,True,False,
ibm-tas,0,,,2021-09-28T16:10:20,True,False,
ibm-test,0,,,2021-09-28T16:10:20,True,False,
ibm-transformation-advisor,0,,,2021-09-28T16:10:20,True,False,
ibm-tririga,0,,,2021-09-28T16:10:20,True,False,
ibm-zen-operator,1,v6.1.3,"v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18",2025-06-17T23:01:53,True,False,
ibmtririga-operator,0,,,2021-09-28T16:10:20,True,False,
ibmz-mongodb-ee-operator,1,5.0.9,"v4.10,v4.6,v4.7,v4.8,v4.9",2022-07-22T18:04:43,True,False,
ibmz-mongodb-enterprise-operator,2,4.4.2,"v4.10,v4.6,v4.7,v4.8,v4.9",2022-05-29T05:38:33,True,False,
infinibox-operator-certified,35,v2.21.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.6,v4.7,v4.8,v4.9",2025-05-20T08:56:24,True,False,
infoscale-dr-manager,13,8.0.400,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.9",2025-02-12T08:45:27,True,False,
infoscale-licensing-operator,13,8.0.400,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.9",2025-02-12T08:43:22,True,False,
infoscale-sds-operator,15,8.0.400,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.9",2025-02-12T12:21:14,True,False,
infrastructure-asset-orchestrator-certified,2,v1.0.2,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2022-06-30T12:50:13,True,False,
insightedge-enterprise-operator2,0,,,2021-09-28T16:10:20,True,False,
insightedge-operator,0,,,2021-09-28T16:10:20,True,False,
installkit-customer,0,,,2021-09-28T16:10:20,True,False,
